producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Don Ernesto blanco bot (Envase vino lt.),0,0,0,0,0,0,0,26.0,20.0,26.0,20.0,19.0,10.0,14.0,19.0,17.0,7.0,4.0,4.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.0,10.0,12.0,16.0,17.0,11.0,8.0,13.0,4.0,14.0,10.0,13.0,14.0,19.0,11.0,5.0,6.0,10.0,9.0,5.0,4.0,8.0,13.0,5.0,5.0,5.0,2.0,5.0,0,0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ernesto tinto bot (Envase vino lt.),0,0,0,0,0,0,0,63.0,39.0,17.0,16.0,91.0,55.0,26.0,57.0,4.0,34.0,12.0,4.0,11.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,15.0,17.0,18.0,7.0,16.0,20.0,8.0,10.0,5.0,9.0,10.0,3.0,12.0,35.0,16.0,9.0,5.0,2.0,11.0,31.0,55.0,66.0,31.0,29.0,40.0,31.0,12.0,40.0,4.0,4.0,8.0,2.0,0,0,0,6.0,28.0,34.0,29.0,26.0,21.0,23.0,24.0,13.0,19.0,14.0,15.0,21.0,54.0,33.0,17.0,10.0,14.0,14.0,16.0,11.0,12.0,9.0,8.0,10.0,1.0,0
Toro Blanco bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,7.0,2.0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,32.0,6.0,2.0,0,0,0,1.0,0,0,0,0,0,0,10.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
Toro Tinto bot ecol,0,0,0,0,0,0,0,18.0,10.0,18.0,26.0,34.0,18.0,47.0,150.0,117.0,77.0,61.0,79.0,89.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,45.0,34.0,26.0,23.0,45.0,34.0,30.0,28.0,29.0,25.0,27.0,20.0,24.0,32.0,37.0,28.0,60.0,93.0,128.0,72.0,68.0,39.0,53.0,46.0,32.0,39.0,27.0,47.0,41.0,37.0,53.0,75.0,49.0,49.0,35.0,44.0,38.0,35.0,46.0,62.0,50.0,44.0,44.0,32.0,38.0,34.0,26.0,35.0,42.0,35.0,30.0,20.0,49.0,39.0,69.0,51.0,48.0,80.0,82.0,108.0,23.0,0
